X,B cell,DC,Fibroblast,ILC,Keratinocytes,Lymphatic endothelium,Macrophage,Mast cell,Melanocyte,Mural cell,Schwann cell,T cell,Vascular endothelium
31x46,0.11398429,0.17517146,0.10786933,0.041570745,0.44700128,0.05578637,0.06343901,0.13213514,0.065092444,0.07650141,0.24350347,0.046369348,0.08768128
22x22,0.012240106,0.032963134,0.012858984,0.012202169,0.24962574,0.020151079,0.011419624,0.042220805,0.018337363,0.009550928,0.058356833,0.0139249535,0.0121517675
10x19,0.31607565,0.29490742,0.45421237,0.11747768,1.1850594,0.17141755,0.2566905,0.36764824,0.26991373,0.104407944,0.7848317,0.13366908,0.38186577
38x41,0.24842131,0.17894943,0.112653434,0.113371894,0.77928114,0.119582936,0.09066004,0.20989703,0.13968301,0.05494638,0.35580146,0.11635651,0.116861105
45x40,0.030846508,0.027011236,0.21086961,0.027688488,0.13725466,0.024200127,0.037376776,0.15278497,0.04350637,0.023571074,0.14858153,0.025823403,0.03136604
15x18,0.09435111,0.032884408,0.11492369,0.040541966,0.3778076,0.06707016,0.034773014,0.17556038,0.072921395,0.051707312,0.3698666,0.033359338,0.07596381
17x30,0.115760155,0.2570741,0.33268967,0.068361126,1.3382306,0.15250136,0.07616353,0.33876374,0.14606668,0.22024928,0.37686282,0.08654131,0.15589194
20x8,0.11182087,0.071524255,0.50396293,0.058097135,0.5579155,0.08060868,0.08619993,0.21696925,0.15854667,0.0667538,0.36098742,0.058790404,0.0626849
28x44,0.07448113,0.21000357,0.060587104,0.033972714,0.5688903,0.04112323,0.06407249,0.15991732,0.06099702,0.028608395,0.19831727,0.03198014,0.040122204
40x35,0.26495042,0.13166906,0.15731855,0.07194872,0.6212756,0.083008386,0.33303803,0.28155652,0.18498394,0.090093605,0.641046,0.08342358,0.057317555
24x44,0.10837408,0.29124233,0.21894456,0.08460407,0.7558026,0.14776666,0.08788419,0.19397898,0.09836961,0.20350307,0.4801953,0.08871689,0.083343804
2x18,0.020654611,0.06442777,0.022001743,0.014893755,0.19276202,0.014537537,0.011476331,0.09987249,0.045471262,0.009630187,0.12737548,0.015109723,0.01007147
45x39,0.07347889,0.20932129,0.13314265,0.06645911,0.7038234,0.14819098,0.074800976,0.25320786,0.22227107,0.14320436,0.5513622,0.04957263,0.089948066
18x41,0.12897186,0.14837173,0.23776487,0.067891784,0.57355475,0.047090247,0.073259525,0.17874655,0.1764169,0.08422775,0.25295225,0.055072807,0.02770922
31x7,0.16784476,0.22633667,0.09955687,0.054605767,0.40477017,0.07273481,0.039345287,0.13460541,0.11195372,0.07923375,0.2465278,0.06534781,0.08994623
3x22,0.045659002,0.06896606,0.07082913,0.0477601,0.3464532,0.057286434,0.040679183,0.22742738,0.094468564,0.05543005,0.41857556,0.060983416,0.04877787
24x15,0.12931895,0.07624799,0.112631395,0.029428912,0.52543044,0.10325964,0.02983793,0.124352716,0.06772362,0.03646221,0.257456,0.032729715,0.15055826
12x19,0.35097033,0.6340222,0.3407416,0.20175812,1.5019302,0.1556595,0.20887356,0.6094704,0.2533862,0.14051622,0.7044345,0.16022608,0.22799599
6x18,0.10992347,0.13199864,0.10912336,0.042220082,0.68688136,0.05006328,0.0708609,0.18187924,0.07898236,0.041228585,0.25858086,0.047926646,0.0336404
